category,n_vars,mean_missing,median_missing,n_vars_over_20
early_life,4,28.19911147794832,34.74653841473416,3
clinical_history,17,21.50015670463992,15.695518060559886,6
lifestyle,12,18.385716393684522,14.933096300058729,3
socioeconomic,7,18.134380834972887,15.910329465669857,2
biomarkers,22,5.136129793674912,0.1767167716914546,3
demographic,3,2.3103689712156243,0,0
environment,4,1.0356978460659354,0.010581842616254769,0
physical_measures,6,0.07933442561464339,0,0
mental_health,1,0,0,0
outcomes,1,0,0,0
study_design,1,0,0,0
