variable,n_missing,pct_missing
early_insulin,472881,83.39920530361952
snoring,338479,59.695525115121626
has_vehicle,274090,48.339620711487825
pregnancy,259531,45.7719366006536
serious_dx,246220,43.42435481623748
comparative_body_size_10,245524,43.30160544188893
long_ill,231037,40.74661954219422
maternal_smoking_birth,198579,35.02219541488759
smoking_status_refined,196860,34.7190256239319
breastfed,195453,34.470881414580724
mh_sought_help,190151,33.535799255391005
household_income,188469,33.23915493404866
crp,159778,28.17909415899924
diabetes_doctor_diagnosed,146888,25.905761636940507
ggt,125221,22.084481904167305
diet_score,119937,21.15257429776247
lpa,116226,20.49808733194711
dvt_dx_age,98976,17.455807579773865
angina_dx_age,97890,17.264276228419654
work_job_satisfaction_num,94197,16.612963815389175
met_min_week_all,92909,16.385806927226906
bilirubin,92763,16.360057776860685
passive_total_hrs,90509,15.962533222576713
passive_cat,90509,15.962533222576713
housing,90213,15.910329465669857
stroke_dx_age,88995,15.695518060559886
alcohol_consumption,78835,13.903659377540745
mi_dx_age,64533,11.381300825912817
meds_chol_bp_diabetes_collapsed,60654,10.697184700771945
pack_yrs,60353,10.644099123647067
age_high_bp_dx,60251,10.626109991199435
salt_added,59581,10.507946081984588
sleep_hrs,44293,7.811692583362874
sleep_cat,44293,7.811692583362874
employment,42737,7.537270131514667
alt,42130,7.43021715704689
triglycerides,40158,7.082427263059317
ethnicity,39300,6.9311069136468735
insomnia,34426,6.071508565119777
household_size,30045,5.298857690089576
age_diabetes_dx,28613,5.046304379648295
lymphocyte_count,26540,4.680701717256692
urban_rural_3lvl,23370,4.121627699031232
monocyte_count,22960,4.049318441153491
pe_dx_age,19780,3.4884807824919886
ast,8819,1.5553545005458467
meds_chol_bp_diabetes_hormone_collapsed,3739,0.6594251590362763
body_fat_mass,2647,0.46683562342043955
apob,2316,0.4084591249874341
heart_problems_collapsed,2294,0.4045791160281407
alp,1177,0.2075804793221977
neutrophill_count,827,0.14585306406071155
hba1c,480,0.08465474093003815
hdl_cholesterol,383,0.06754742870042627
wbc,344,0.06066923099986067
creatinine,251,0.04426737494466578
cystatin_c,140,0.02469096610459446
apoa1,130,0.022927325668551997
no2_2010,120,0.021163685232509537
grip_strength,52,0.0091709302674208
ldl_direct,40,0.0070545617441698455
highest_qualification,14,0.002469096610459446
birth_weight,10,0.0017636404360424614
platelets,6,0.001058184261625477
total_cholesterol,2,3.527280872084923e-4
recruitment_date,0,0
age,0,0
sex,0,0
sbp,0,0
dbp,0,0
whr,0,0
heel_bone_density,0,0
n_previous_pregnancies_collapsed,0,0
neuroticism_score,0,0
pm2.5_2010,0,0
pm10_2010,0,0
albumin,0,0
has_cvd,0,0
