variable,gatekeeper,structural
first_cvd_date,age,TRUE
death_date,recruitment_date,TRUE
breastfed,age,FALSE
comparative_body_size_10,age,FALSE
crp,age,FALSE
death_date,age,FALSE
diabetes_doctor_diagnosed,age,FALSE
diet_score,age,FALSE
ggt,age,FALSE
household_income,age,FALSE
long_ill,age,FALSE
lpa,age,FALSE
maternal_smoking_birth,age,FALSE
mh_sought_help,age,FALSE
serious_dx,age,FALSE
smoking_status_refined,age,FALSE
breastfed,employment,FALSE
comparative_body_size_10,employment,FALSE
crp,employment,FALSE
death_date,employment,FALSE
diabetes_doctor_diagnosed,employment,FALSE
diet_score,employment,FALSE
first_cvd_date,employment,FALSE
ggt,employment,FALSE
household_income,employment,FALSE
long_ill,employment,FALSE
lpa,employment,FALSE
maternal_smoking_birth,employment,FALSE
mh_sought_help,employment,FALSE
serious_dx,employment,FALSE
smoking_status_refined,employment,FALSE
breastfed,ethnicity,FALSE
comparative_body_size_10,ethnicity,FALSE
crp,ethnicity,FALSE
death_date,ethnicity,FALSE
diabetes_doctor_diagnosed,ethnicity,FALSE
diet_score,ethnicity,FALSE
first_cvd_date,ethnicity,FALSE
ggt,ethnicity,FALSE
household_income,ethnicity,FALSE
long_ill,ethnicity,FALSE
lpa,ethnicity,FALSE
maternal_smoking_birth,ethnicity,FALSE
mh_sought_help,ethnicity,FALSE
serious_dx,ethnicity,FALSE
smoking_status_refined,ethnicity,FALSE
breastfed,recruitment_date,FALSE
comparative_body_size_10,recruitment_date,FALSE
crp,recruitment_date,FALSE
diabetes_doctor_diagnosed,recruitment_date,FALSE
diet_score,recruitment_date,FALSE
first_cvd_date,recruitment_date,FALSE
ggt,recruitment_date,FALSE
household_income,recruitment_date,FALSE
long_ill,recruitment_date,FALSE
lpa,recruitment_date,FALSE
maternal_smoking_birth,recruitment_date,FALSE
mh_sought_help,recruitment_date,FALSE
serious_dx,recruitment_date,FALSE
smoking_status_refined,recruitment_date,FALSE
breastfed,sex,FALSE
comparative_body_size_10,sex,FALSE
crp,sex,FALSE
death_date,sex,FALSE
diabetes_doctor_diagnosed,sex,FALSE
diet_score,sex,FALSE
first_cvd_date,sex,FALSE
ggt,sex,FALSE
household_income,sex,FALSE
long_ill,sex,FALSE
lpa,sex,FALSE
maternal_smoking_birth,sex,FALSE
mh_sought_help,sex,FALSE
serious_dx,sex,FALSE
smoking_status_refined,sex,FALSE
